"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,141,"MTQ","Martinique",1,"Fort-de-France","MQ.FF",NA,"","Arrondissement","Arrondissement","",""
2,141,"MTQ","Martinique",2,"Le Marin","MQ.MA",NA,"","Arrondissement","Arrondissement","","Marin"
3,141,"MTQ","Martinique",3,"Le Trinité","MQ.TR",NA,"","Arrondissement","Arrondissement","","Trinite"
4,141,"MTQ","Martinique",4,"Saint-Pierre","MQ.SP",NA,"","Arrondissement","Arrondissement","",""
