"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,56,"CRI","Costa Rica",1,"Alajuela","CR.AL",NA,"","Provincia","Province","",""
2,56,"CRI","Costa Rica",2,"Cartago","CR.CA",NA,"","Provincia","Province","",""
3,56,"CRI","Costa Rica",3,"Guanacaste","CR.GU",NA,"","Provincia","Province","",""
4,56,"CRI","Costa Rica",4,"Heredia","CR.HE",NA,"","Provincia","Province","",""
5,56,"CRI","Costa Rica",5,"Limón","CR.LI",NA,"","Provincia","Province","","Puerto Lim¢n"
6,56,"CRI","Costa Rica",6,"Puntarenas","CR.PU",NA,"","Provincia","Province","",""
7,56,"CRI","Costa Rica",7,"San José","CR.SJ",NA,"","Provincia","Province","",""
