"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,167,"XNC","Northern Cyprus",1,"Güzelyurt","",NA,"","Kaza","District","","Morphou"
2,167,"XNC","Northern Cyprus",2,"Gazimagusa","",NA,"","Kaza","District","<U+0391>µµ<U+03CC><U+03C7><U+03C9>st<U+03BF><U+03C2>","Famagusta|Gazimagusa"
3,167,"XNC","Northern Cyprus",3,"Girne","",NA,"","Kaza","District","<U+039A>e<U+03C1><U+03CD>ve<U+03B9>a","Kyrenia"
4,167,"XNC","Northern Cyprus",4,"Iskele","",NA,"","Kaza","District","","Trikomo"
5,167,"XNC","Northern Cyprus",5,"Nicosia","",NA,"","Kaza","District","<U+039B>e<U+03C5><U+03BA><U+03C9>s<U+03AF>a","Lefkosa"
