"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,110,"IMN","Isle of Man",1,"Ayre","IM.AY",NA,"","Sheading","","",""
2,110,"IMN","Isle of Man",2,"Garff","IM.GR",NA,"","Sheading","","",""
3,110,"IMN","Isle of Man",3,"Glenfaba","IM.GB",NA,"","Sheading","","",""
4,110,"IMN","Isle of Man",4,"Michael","IM.MC",NA,"","Sheading","","",""
5,110,"IMN","Isle of Man",5,"Middle","IM.MD",NA,"","Sheading","","",""
6,110,"IMN","Isle of Man",6,"Rushen","IM.RU",NA,"","Sheading","","",""
