"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,232,"TON","Tonga",1,"'Eua","TO.EU",NA,"","Island Group","Island Group","",""
2,232,"TON","Tonga",2,"Ha'apai","TO.HA",NA,"","Island Group","Island Group","",""
3,232,"TON","Tonga",3,"Niuas","TO.NI",NA,"","Island Group","Island Group","",""
4,232,"TON","Tonga",4,"Tongatapu","TO.TT",NA,"","Island Group","Island Group","",""
5,232,"TON","Tonga",5,"Vava'u","TO.VA",NA,"","Island Group","Island Group","",""
