"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,24,"BLZ","Belize",1,"Belize","BZ.BZ",NA,"","District","District","",""
2,24,"BLZ","Belize",2,"Cayo","BZ.CY",NA,"","District","District","",""
3,24,"BLZ","Belize",3,"Corozal","BZ.CZ",NA,"","District","District","",""
4,24,"BLZ","Belize",4,"Orange Walk","BZ.OW",NA,"","District","District","",""
5,24,"BLZ","Belize",5,"Stann Creek","BZ.SC",NA,"","District","District","",""
6,24,"BLZ","Belize",6,"Toledo","BZ.TO",NA,"","District","District","",""
