"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,168,"MNP","Northern Mariana Islands",1,"Northern Islands","MP.NI",NA,"","Municipality","Municipality","",""
2,168,"MNP","Northern Mariana Islands",2,"Rota","MP.RO",NA,"","Municipality","Municipality","","Luta"
3,168,"MNP","Northern Mariana Islands",3,"Saipan","MP.SA",NA,"","Municipality","Municipality","",""
4,168,"MNP","Northern Mariana Islands",4,"Tinian","MP.TI",NA,"","Municipality","Municipality","",""
