"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,247,"VUT","Vanuatu",1,"Malampa","VU.ML",NA,"","Province","Province","",""
2,247,"VUT","Vanuatu",2,"Penama","VU.PM",NA,"","Province","Province","",""
3,247,"VUT","Vanuatu",3,"Sanma","VU.SN",NA,"","Province","Province","",""
4,247,"VUT","Vanuatu",4,"Shefa","VU.SE",NA,"","Province","Province","",""
5,247,"VUT","Vanuatu",5,"Tafea","VU.TF",NA,"","Province","Province","",""
6,247,"VUT","Vanuatu",6,"Torba","VU.TR",NA,"","Province","Province","",""
