"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,82,"ATF","French Southern Territories",1,"Îles Éparses","",NA,"","District","District","","Glorioso Islands"
2,82,"ATF","French Southern Territories",2,"Îles Crozet","TF.CR",NA,"","District","District","","Crozet Islands"
3,82,"ATF","French Southern Territories",3,"Îles Saint Paul et Amsterdam","TF.AS",NA,"","District","District","","St. Paul and Amsterdam islands"
4,82,"ATF","French Southern Territories",4,"Kerguelen","TF.KG",NA,"","District","District","",""
