"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,120,"XKO","Kosovo",1,"Ðakovica","",NA,"","Okrug","District","",""
2,120,"XKO","Kosovo",2,"Gnjilane","",NA,"","Okrug","District","",""
3,120,"XKO","Kosovo",3,"Kosovska Mitrovica","RS.KM",NA,"","Okrug","District","",""
4,120,"XKO","Kosovo",4,"Pecki","RS.PE",NA,"","Okrug","District","<U+041F><U+0435><U+045B><U+043A><U+0438>","Pec"
5,120,"XKO","Kosovo",5,"Pristina","",NA,"","Okrug","District","",""
6,120,"XKO","Kosovo",6,"Prizren","RS.PZ",NA,"","Okrug","District","",""
7,120,"XKO","Kosovo",7,"Uroševac","",NA,"","Okrug","District","",""
