"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,253,"ESH","Western Sahara",1,"Boujdour","EH.BO",NA,"","Willaya","Province","","Bojador"
2,253,"ESH","Western Sahara",2,"Es Semara","EH.ES",NA,"","Willaya","Province","","Smara"
3,253,"ESH","Western Sahara",3,"Laayoune","EH.LA",NA,"","Willaya","Province","","El aaiún"
4,253,"ESH","Western Sahara",4,"Oued el Dahab","EH.OD",NA,"","Willaya","Province","","Ed Dakhla|Oued Eddahab"
