"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,54,"COM","Comoros",1,"Mwali","KM.MO",NA,"","Autonomous Island","Autonomous Island","","Mohéli"
2,54,"COM","Comoros",2,"Njazídja","KM.GC",NA,"","Autonomous Island","Autonomous Island","","Grande Comore"
3,54,"COM","Comoros",3,"Nzwani","KM.AN",NA,"","Autonomous Island","Autonomous Island","","Anjouan"
