"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,111,"ISR","Israel",1,"Golan","",NA,"","Mehoz","District","",""
2,111,"ISR","Israel",2,"HaDarom","IL.HD",NA,"","Mehoz","District","","Southern District"
3,111,"ISR","Israel",3,"Haifa","IL.HA",NA,"","Mehoz","District","","Hefa"
4,111,"ISR","Israel",4,"HaMerkaz","IL.HM",NA,"","Mehoz","District","","Central District"
5,111,"ISR","Israel",5,"HaZafon","IL.HZ",NA,"","Mehoz","District","","Northern"
6,111,"ISR","Israel",6,"Jerusalem","IL.JM",NA,"","Mehoz","District","","Al-Quds|Yerushalayim"
7,111,"ISR","Israel",7,"Tel Aviv","IL.TA",NA,"","Mehoz","District","",""
