"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,6,"ASM","American Samoa",1,"Eastern","AS.ET",NA,"","District","District","",""
2,6,"ASM","American Samoa",2,"Manu'a","AS.MA",NA,"","District","District","",""
3,6,"ASM","American Samoa",3,"Unorganized","AS.UU",NA,"","District","District","",""
4,6,"ASM","American Samoa",4,"Western","AS.WT",NA,"","District","District","",""
