"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,251,"VIR","Virgin Islands, U.S.",1,"Saint Croix","VI.SC",NA,"","District","District","",""
2,251,"VIR","Virgin Islands, U.S.",2,"Saint John","VI.SJ",NA,"","District","District","",""
3,251,"VIR","Virgin Islands, U.S.",3,"Saint Thomas","VI.ST",NA,"","District","District","",""
