"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,131,"LUX","Luxembourg",1,"Diekirch","LU.DI",NA,"","District","District","","Dikrech|Dikkrich"
2,131,"LUX","Luxembourg",2,"Grevenmacher","LU.GR",NA,"","District","District","","Gréivemaacher"
3,131,"LUX","Luxembourg",3,"Luxembourg","LU.LU",NA,"","District","District","","Lëtzebuerg|Luxemburg"
