"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,35,"VGB","British Virgin Islands",1,"Anegada","",NA,"","District","District","",""
2,35,"VGB","British Virgin Islands",2,"Jost Van Dyke","",NA,"","District","District","",""
3,35,"VGB","British Virgin Islands",3,"Other Islands","",NA,"","District","District","",""
4,35,"VGB","British Virgin Islands",4,"Tortola","",NA,"","District","District","",""
5,35,"VGB","British Virgin Islands",5,"Virgin Gorda","",NA,"","District","District","",""
