"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,221,"SWZ","Swaziland",1,"Hhohho","SZ.HH",NA,"","District","District","",""
2,221,"SWZ","Swaziland",2,"Lubombo","SZ.LU",NA,"","District","District","",""
3,221,"SWZ","Swaziland",3,"Manzini","SZ.MA",NA,"","District","District","",""
4,221,"SWZ","Swaziland",4,"Shiselweni","SZ.SH",NA,"","District","District","","Shiselwini"
