"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,220,"SJM","Svalbard and Jan Mayen",1,"Jan Mayen","SJ.JN",NA,"","Territory","Territory","",""
2,220,"SJM","Svalbard and Jan Mayen",2,"Svalbard","SJ.SV",NA,"","Territory","Territory","",""
