"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,146,"FSM","Micronesia",1,"Chuuk","FM.CH",NA,"","State","State","","Truk"
2,146,"FSM","Micronesia",2,"Kosrae","FM.KO",NA,"","State","State","","Kusaie"
3,146,"FSM","Micronesia",3,"Pohnpei","FM.PO",NA,"","State","State","","Ponape"
4,146,"FSM","Micronesia",4,"Yap","FM.YA",NA,"","State","State","",""
