"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,91,"GRD","Grenada",1,"Carriacou","GD.CA",NA,"","Dependency","Dependency","",""
2,91,"GRD","Grenada",2,"Saint Andrew","GD.AN",NA,"","Parish","Parish","",""
3,91,"GRD","Grenada",3,"Saint David","GD.DA",NA,"","Parish","Parish","",""
4,91,"GRD","Grenada",4,"Saint George","GD.GE",NA,"","Parish","Parish","","Saint George's"
5,91,"GRD","Grenada",5,"Saint John","GD.JO",NA,"","Parish","Parish","",""
6,91,"GRD","Grenada",6,"Saint Mark","GD.MA",NA,"","Parish","Parish","",""
7,91,"GRD","Grenada",7,"Saint Patrick","GD.PA",NA,"","Parish","Parish","",""
